Region Name,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,Median_Columns
"Eaton County, MI",52300.0,51428.0,55229.0,53764.0,57088.0,56760.0,57807.0,64318.0,66716.0,65891.0,67658.0,
"Emmet County, MI",45875.0,48285.0,49647.0,48399.0,50191.0,49774.0,51122.0,52796.0,58891.0,59456.0,60401.0,
"Genesee County, MI",39271.0,40854.0,40483.0,41393.0,41787.0,44181.0,44174.0,46457.0,48370.0,50554.0,48721.0,
"Gladwin County, MI",36064.0,34747.0,37442.0,35049.0,39721.0,40746.0,41251.0,41667.0,44635.0,46458.0,48694.0,
"Gogebic County, MI",31998.0,33382.0,34444.0,33679.0,33600.0,38416.0,36429.0,38343.0,39934.0,39030.0,48975.0,
"Grand Traverse County, MI",47442.0,46786.0,51030.0,50755.0,55592.0,54874.0,57367.0,59674.0,64591.0,65041.0,67290.0,
"Gratiot County, MI",40227.0,40359.0,42657.0,42026.0,43509.0,42800.0,42642.0,42653.0,48988.0,51046.0,54161.0,
"Hillsdale County, MI",41360.0,41030.0,40179.0,40363.0,44780.0,46786.0,49049.0,47610.0,50388.0,50015.0,54974.0,
"Houghton County, MI",34828.0,35425.0,35758.0,36947.0,39126.0,41775.0,38603.0,45127.0,42282.0,45006.0,47399.0,
"Huron County, MI",38274.0,39726.0,40459.0,41044.0,41678.0,45917.0,44845.0,46627.0,45817.0,49126.0,53616.0,
"Ingham County, MI",43414.0,42371.0,43864.0,44979.0,45840.0,47470.0,49387.0,51186.0,52837.0,54704.0,62711.0,
"Ionia County, MI",42719.0,46072.0,50695.0,49047.0,48681.0,51013.0,50383.0,57318.0,61667.0,59582.0,58371.0,
"Iosco County, MI",33985.0,33487.0,34343.0,36103.0,37122.0,39874.0,39721.0,41755.0,41256.0,43605.0,43450.0,
"Iron County, MI",34911.0,34384.0,34167.0,34698.0,35961.0,36570.0,38913.0,42082.0,40959.0,46814.0,45098.0,
"Isabella County, MI",35644.0,38154.0,38041.0,39991.0,42431.0,41957.0,42924.0,45683.0,47056.0,46677.0,53607.0,
"Jackson County, MI",43465.0,42379.0,43827.0,45002.0,46670.0,50683.0,50809.0,50895.0,52047.0,56001.0,57267.0,
"Kalamazoo County, MI",43957.0,45798.0,45093.0,46445.0,46283.0,52252.0,53370.0,56199.0,55881.0,56739.0,63279.0,
"Kalkaska County, MI",38810.0,38053.0,40135.0,39269.0,40709.0,42829.0,48426.0,43357.0,46068.0,47620.0,52903.0,
"Kent County, MI",47897.0,50651.0,50674.0,51997.0,53342.0,54550.0,59649.0,61146.0,61675.0,66560.0,65012.0,
"Keweenaw County, MI",38768.0,38207.0,39378.0,37229.0,40411.0,40862.0,42799.0,43812.0,51641.0,47318.0,49890.0,
"Lake County, MI",28526.0,28971.0,30897.0,30656.0,30990.0,32971.0,33708.0,35005.0,36044.0,38044.0,39971.0,
"Lapeer County, MI",49759.0,50232.0,51627.0,53506.0,51510.0,57774.0,56079.0,57621.0,65209.0,66415.0,68959.0,
"Leelanau County, MI",55149.0,51267.0,54494.0,56335.0,60622.0,61397.0,62174.0,66372.0,67349.0,72888.0,77687.0,
"Lenawee County, MI",45887.0,45512.0,48427.0,46693.0,48194.0,49013.0,52738.0,56416.0,55762.0,55466.0,58849.0,
"Livingston County, MI",65729.0,68895.0,75744.0,71075.0,74341.0,76934.0,79388.0,82076.0,84048.0,87827.0,87686.0,
"Luce County, MI",35813.0,36515.0,38384.0,38284.0,37590.0,41870.0,41881.0,44479.0,43196.0,45464.0,48764.0,
"Mackinac County, MI",37072.0,36393.0,36562.0,38839.0,39359.0,40091.0,42887.0,43427.0,46645.0,44986.0,48480.0,
"Macomb County, MI",49348.0,50958.0,52275.0,52954.0,54865.0,54939.0,60175.0,60475.0,62191.0,65051.0,64870.0,
"Manistee County, MI",37479.0,39347.0,39319.0,41258.0,37477.0,41811.0,46851.0,45504.0,47401.0,50047.0,53488.0,
"Marquette County, MI",44239.0,41663.0,44629.0,45170.0,44735.0,48108.0,50681.0,49472.0,54093.0,54913.0,52793.0,
"Mason County, MI",38776.0,39101.0,40752.0,40438.0,42896.0,43620.0,46624.0,46579.0,51083.0,49869.0,52571.0,
"Mecosta County, MI",36193.0,38634.0,39253.0,39764.0,41572.0,41755.0,41759.0,45785.0,45804.0,47705.0,52949.0,
"Menominee County, MI",40253.0,39292.0,38157.0,40866.0,42191.0,42591.0,42306.0,48627.0,46486.0,49189.0,53031.0,
"Midland County, MI",50430.0,53764.0,53208.0,53007.0,51629.0,59248.0,58526.0,61290.0,58057.0,69859.0,65249.0,
"Missaukee County, MI",36931.0,37616.0,40917.0,40226.0,40455.0,42836.0,41625.0,44553.0,48413.0,51317.0,51030.0,
"Monroe County, MI",50777.0,54174.0,51898.0,55745.0,57719.0,56161.0,61962.0,61121.0,62522.0,64341.0,69182.0,
"Montcalm County, MI",36701.0,41023.0,41205.0,40790.0,41554.0,41728.0,46877.0,46664.0,50396.0,52089.0,52589.0,
"Montmorency County, MI",33294.0,32241.0,34336.0,33742.0,37961.0,37153.0,37021.0,40170.0,40650.0,40126.0,43350.0,
"Muskegon County, MI",39075.0,38482.0,40580.0,41556.0,42588.0,46709.0,44473.0,48885.0,49960.0,50730.0,58445.0,
"Newaygo County, MI",38846.0,41674.0,43060.0,43238.0,41588.0,45086.0,47221.0,47521.0,48860.0,51772.0,51122.0,
"Oakland County, MI",60392.0,61961.0,63511.0,67281.0,69378.0,70150.0,72078.0,77558.0,80319.0,81257.0,82849.0,
"Oceana County, MI",37629.0,39670.0,38233.0,43134.0,41166.0,43211.0,42446.0,46423.0,50374.0,52319.0,52388.0,
"Ogemaw County, MI",34595.0,33222.0,33769.0,34778.0,35968.0,37057.0,37842.0,38220.0,41201.0,41347.0,46144.0,
"Ontonagon County, MI",36566.0,34352.0,34501.0,33116.0,35387.0,37508.0,35894.0,37208.0,40798.0,45531.0,43309.0,
"Osceola County, MI",37840.0,38404.0,36023.0,38407.0,40235.0,41782.0,41018.0,41268.0,45607.0,47343.0,51474.0,
"Oscoda County, MI",31303.0,31579.0,33046.0,31094.0,33975.0,36724.0,36181.0,39253.0,38927.0,44594.0,43683.0,
"Otsego County, MI",43601.0,44129.0,48242.0,47016.0,44693.0,50420.0,50061.0,51814.0,51292.0,52392.0,61330.0,
"Ottawa County, MI",53454.0,54461.0,55158.0,57994.0,60577.0,61429.0,65004.0,68816.0,70420.0,69827.0,77465.0,
"Presque Isle County, MI",36376.0,39483.0,38019.0,38648.0,39420.0,41658.0,43484.0,43244.0,45502.0,47339.0,49713.0,
"Roscommon County, MI",32401.0,32742.0,34536.0,31690.0,35002.0,38516.0,37817.0,40306.0,38613.0,42546.0,43551.0,
"Saginaw County, MI",41714.0,40411.0,40421.0,41510.0,44548.0,43344.0,45739.0,45433.0,48805.0,48471.0,51893.0,
"St. Clair County, MI",44706.0,45858.0,44994.0,49949.0,50303.0,51183.0,52178.0,56671.0,56557.0,60208.0,59138.0,
